Title,Genre,Premiere,Runtime,IMDB Score,Language
The Last Laugh,Comedy-drama,1/11/2019,98,5.6,English
ReMastered: Massacre at the Stadium,Documentary,1/11/2019,64,7.3,English/Spanish
IO,Science fiction/Drama,1/18/2019,95,4.7,English
Fyre: The Greatest Party That Never Happened,Documentary,1/18/2019,97,7.2,English
Soni,Crime drama,1/18/2019,97,7.2,Hindi
Polar,Action,1/25/2019,118,6.3,English
Velvet Buzzsaw,Thriller,2/1/2019,112,5.7,English
Kevin Hart's Guide to Black History,Variety show,2/8/2019,63,5.5,English
High Flying Bird,Sports-drama,2/8/2019,90,6.2,English
ReMastered: The Two Killings of Sam Cooke,Documentary,2/8/2019,64,7.3,English
Juanita,Drama,3/8/2019,90,6,English
Walk. Ride. Rodeo.,Drama,3/8/2019,99,6.4,English
Unicorn Store,Comedy,4/5/2019,92,5.5,English
Knock Down the House,Documentary,5/1/2019,87,7.1,English
Despite Everything,Comedy,5/3/2019,78,5.4,Spanish
All in My Family,Documentary,5/3/2019,39,6.8,English/Mandarin
Elisa & Marcela,Romance,6/7/2019,118,6.6,Spanish
The Black Godfather,Documentary,6/7/2019,118,7.4,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,6/12/2019,144,7.6,English
Murder Mystery,Comedy mystery,6/14/2019,97,6,English
Life Overtakes Me,Documentary,6/14/2019,40,6.5,English/Swedish
Beats,Drama,6/19/2019,110,7.1,English
The Edge of Democracy,Documentary,6/19/2019,121,7.2,Portuguese
Anima,Musical / Short,6/27/2019,15,7.7,English
Parchis: The Documentary,Documentary,7/10/2019,106,6.7,Spanish
Point Blank,Action,7/12/2019,86,5.7,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,7/16/2019,32,5.9,English
Secret Obsession,Thriller,7/18/2019,97,4.4,English
The Great Hack,Documentary,7/24/2019,114,7.1,English
The Red Sea Diving Resort,Spy thriller,7/31/2019,130,6.6,English
Otherhood,Comedy,8/2/2019,100,6.1,English
Enter the Anime,Documentary,8/5/2019,58,2.5,English/Japanese
Lovefucked,Drama,8/9/2019,106,6,Hindi
Rocko's Modern Life: Static Cling,Animation / Comedy,8/9/2019,45,7,English
In the Tall Grass,Horror,10/4/2019,101,5.4,English
The Forest of Love,Drama,10/11/2019,151,6.3,Japanese
Fractured,Thriller,10/11/2019,100,6.4,English
El Camino: A Breaking Bad Movie,Crime drama,10/11/2019,121,7.3,English
Street Flow,Drama,10/12/2019,96,6.4,French
Eli,Horror,10/18/2019,98,5.7,English
The Laundromat,Comedy-drama,10/18/2019,98,6.3,English
Upstarts,Drama,10/18/2019,112,6.7,Hindi
Seventeen,Coming-of-age comedy-drama,10/18/2019,99,7.2,Spanish
Tell Me Who I Am,Documentary,10/18/2019,85,7.6,English
Dancing with the Birds,Documentary,10/23/2019,51,8.3,English
Rattlesnake,Horror,10/25/2019,85,4.6,English
